Method,Scenario,Perturbation,Frames,PSNR_mean,PSNR_std,SSIM_mean,SSIM_std,LPIPS_mean,LPIPS_std,TLPIPS_mean,TLPIPS_std,TempConsistency_mean,TempConsistency_std
LaMa,bus,original,80,8.326533703860772,0.43377792440283613,0.43195207713168327,0.033459522995891514,0.5134648151695729,0.058767215201055066,0.1576697237883942,0.03624194465144809,10.078857284941373,3.0201270111138814
LaMa,bus,shrink_3px,80,8.150372659339244,0.35428363035236526,0.4134110326224022,0.033372054556191466,0.5319628328084945,0.06338919010217586,0.15955592635311658,0.03799746855994027,9.53749472728111,2.9419591537106635
LaMa,bus,shrink_7px,80,8.09917308790886,0.33653561238850455,0.37873863006873726,0.04148792312211629,0.5658479005098342,0.07564981457437639,0.16222845640363573,0.03837199982015591,9.309832049469556,3.0269570118416094
LaMa,bus,grow_3px,80,8.845444472159386,0.7157525494175883,0.44466447513384644,0.032335648026954524,0.5067197497934103,0.060914587534251684,0.15633039449966407,0.03749932673835563,10.61040320446538,3.1657984517097275
LaMa,bus,grow_7px,80,9.358752071920367,0.9439550521896848,0.4638218182022147,0.03102954852892575,0.4934287402778864,0.052735745848787895,0.15416345915085153,0.03708457132742767,10.498016757974758,3.063879649767935
LaMa,bus,shift_5px,80,8.444966864570892,0.49356480537531283,0.4328853237605664,0.03338907352749678,0.5133968442678452,0.058719171366906166,0.15741176290225378,0.0369134173010015,10.03430011871518,3.028109646128283
LaMa,bus,shift_10px,80,8.567829374733535,0.5060567936176524,0.43518846138930145,0.033400973130197256,0.5116356395184993,0.059449387630439,0.15712472843595698,0.03687359459952154,9.904336612013067,3.01273065650443
LaMa,car-roundabout,original,75,9.581494559344815,0.6237669146840004,0.26426767822826,0.014708722488643805,0.5577233544985454,0.01924232442436597,0.1980044475278339,0.02297280096159833,18.33300043077574,1.953620544722388
LaMa,car-roundabout,shrink_3px,75,9.652493171849265,0.6510828969855545,0.2441489334912653,0.015311854230196712,0.5636657516161601,0.02035809301124065,0.2043794343197668,0.02073633045240547,18.495763107007164,2.0122128282952563
LaMa,car-roundabout,shrink_7px,75,9.848044331273023,0.7019448182597261,0.22005501555360102,0.015606491730901102,0.5693592913945515,0.021619117786335195,0.20808159036410823,0.024798686891252954,18.75238097810485,2.100190331782851
LaMa,car-roundabout,grow_3px,75,9.799878076768007,0.6137936975151222,0.2867966515914939,0.013266707363009519,0.5408733562628428,0.019924828226504116,0.19458378045945554,0.024326707914798167,18.15718450390705,1.895412661068399
LaMa,car-roundabout,grow_7px,75,10.118386330761355,0.6064520592272811,0.319667039779576,0.010780647110185051,0.5256997299194336,0.022581552169535633,0.1859812001521523,0.02184683136396799,17.739658480748428,1.8133247641208865
LaMa,car-roundabout,shift_5px,75,9.716058334421668,0.6226593745759283,0.2658984265412782,0.01578006820744398,0.5530646061897277,0.020359267530609175,0.19638362466483503,0.02278626454368192,18.326450520249104,2.0265563559408757
LaMa,car-roundabout,shift_10px,75,9.876155622601747,0.6553534704993433,0.27032851289984,0.01961637609648454,0.54743390639623,0.022044743616370467,0.19564093951437925,0.024331531641884563,18.24910050606016,2.2390799650908413
LaMa,car-shadow,original,40,9.47353896752331,0.5325038325250163,0.31961219056585116,0.041258003192006724,0.6175113692879677,0.04199086225533043,0.1654616451034179,0.03498954588976598,11.816473195692705,1.8347586371812419
LaMa,car-shadow,shrink_3px,40,9.306680833467814,0.553182354974952,0.28083112339181787,0.03832558841098382,0.6440818175673485,0.03667202408941524,0.17710338876797602,0.03503303032489816,11.79444651902818,1.9301808671520395
LaMa,car-shadow,shrink_7px,40,9.184069032309907,0.6120683682620149,0.24911326887325097,0.040124547251819846,0.6595618948340416,0.03647803990173195,0.18688870469729105,0.03635504934280914,11.72986460843937,2.0223666666854596
LaMa,car-shadow,grow_3px,40,9.838262316631466,0.5202213586175165,0.3518857610813305,0.03636481580111763,0.5996311604976654,0.03802986874970773,0.15527669283059928,0.026420853787495646,11.77619083568987,1.7616285623705699
LaMa,car-shadow,grow_7px,40,10.305930447842282,0.5255135020543121,0.39794004439446107,0.025264032540160603,0.5741168573498726,0.03418610513015288,0.1473295495678217,0.02634961156922739,11.47828641566243,1.6693130671728877
LaMa,car-shadow,shift_5px,40,9.587753512703266,0.5273175444656548,0.32458491939286616,0.039087398687532325,0.6164199084043502,0.039280353393476616,0.1648286737692662,0.03510204661741753,11.893393149419099,1.8592765883140385
LaMa,car-shadow,shift_10px,40,9.685778277240342,0.5655138927850248,0.32548886774130975,0.04027024038196253,0.612553583085537,0.03849621184225981,0.16512681390994635,0.03276553524058114,11.624125639215634,1.8205383901092185
LaMa,car-turn,original,80,9.93527890163606,1.571679319541644,0.28471491786982117,0.06545064041305718,0.6758362963795662,0.0671940218979504,0.13417096016339108,0.044115687026561656,9.940898688074377,3.351632186225569
LaMa,car-turn,shrink_3px,80,9.876951111842624,1.6192489226080096,0.2649420974647963,0.07355117350416074,0.6901850685477257,0.06741435579764656,0.13804574692739716,0.046998922605988,9.99742444026327,3.6458762900348796
LaMa,car-turn,shrink_7px,80,9.894840261290941,1.6984529387727574,0.24264045065586393,0.08088801280110895,0.7154821425676345,0.06289780241956044,0.14336971749987784,0.04783823228132612,10.021790341209107,4.02283790366862
LaMa,car-turn,grow_3px,80,10.26380357129183,1.620941133333829,0.3076662299913706,0.05670067908799933,0.6618875756859779,0.0644357485504986,0.1317814405583128,0.04417900242247552,9.823072571331746,3.072662752309977
LaMa,car-turn,grow_7px,80,10.695588610824014,1.6937208644221877,0.3437921182683576,0.04247209528023272,0.6393332637846469,0.06511043092914132,0.1270925239954568,0.04229875491164137,9.47929203031941,2.7966655521271298
LaMa,car-turn,shift_5px,80,10.059094066422285,1.6292033173432845,0.2870027933800531,0.06489534695023194,0.6757625952363014,0.06652610082210855,0.13238851990126357,0.04373346173775198,9.912031103698629,3.3743911994616593
LaMa,car-turn,shift_10px,80,10.230449592031619,1.6876596865019855,0.2963476736364142,0.05953894149020946,0.6727304995059967,0.06836028114619618,0.13367423146397253,0.04386895917445766,9.774725636527398,3.2737199112923387
LaMa,classic-car,original,63,9.213001967875353,1.6906193163600665,0.47093698969588244,0.05174962487727888,0.5243400869861482,0.06402183643829476,0.3934261560920746,0.08222760936866919,17.304901851710138,4.287357646635315
LaMa,classic-car,shrink_3px,63,9.228592101349449,1.7262225151999655,0.46617309727699136,0.05330171768932157,0.5294153766026573,0.06454897309914151,0.3937322329128942,0.08193477424422156,16.765824326141516,4.451288715678279
LaMa,classic-car,shrink_7px,63,9.272222300296157,1.7537713173170122,0.45982204481628447,0.05530596717558692,0.5346502008892241,0.06341419318014528,0.3922461100643681,0.08024447415046979,16.16495685979934,4.686485876414705
